time,latitude,longitude,depth,mag,magType,magSource
2023-11-06T18:49:24.720Z,38.7799988,-122.7580032,1.5,1.06,md,nc
2023-11-06T18:39:05.000Z,33.6811667,-116.7081667,15.78,0.77,ml,ci
2023-11-06T18:12:41.902Z,58.875,-153.8277,13.9,1.6,ml,ak
2023-11-06T18:06:42.200Z,19.43233333,-155.545,14.94,0.92,md,hv
2023-11-06T17:56:48.180Z,41.513,-112.8715,10.78,2.21,ml,uu
2023-11-06T17:40:39.820Z,38.7898331,-122.7606659,1.14,1.46,md,nc
2023-11-06T17:35:08.420Z,38.8308334,-122.8156662,2.61,0.76,md,nc
2023-11-06T17:34:56.200Z,33.6255,-116.6651667,13.22,0.45,ml,ci
2023-11-06T17:34:38.800Z,38.815834,-122.81633,2.54,0.75,md,nc
2023-11-06T16:55:31.169Z,54.9557,-161.2983,67.067,2.7,ml,us
2023-11-06T16:31:19.939Z,63.1818,-149.8242,14.3,1.4,ml,ak
2023-11-06T16:26:23.100Z,19.17099953,-155.5033264,31.13999939,1.84000003,md,hv
2023-11-06T16:23:11.033Z,63.5657,-147.4075,0.5,3.2,ml,ak
2023-11-06T16:19:28.328Z,58.8345,-153.6628,12.3,1.8,ml,ak
2023-11-06T16:16:00.074Z,60.3278,-152.0955,62.5,0.8,ml,ak
2023-11-06T16:13:28.372Z,59.9242,-153.1193,111.3,2.2,ml,ak
2023-11-06T16:03:17.060Z,33.709,-116.7648333,16.06,0.69,ml,ci
2023-11-06T16:01:35.683Z,58.8129,-153.6055,13.1,2,ml,ak
2023-11-06T15:56:10.760Z,17.92366667,-66.288,7.67,2.31,md,pr
2023-11-06T15:53:02.260Z,17.939,-66.2635,17.76,2.39,md,pr
2023-11-06T15:53:00.248Z,59.8008,-150.9927,44.4,1.7,ml,ak
2023-11-06T15:51:57.181Z,38.8881,-118.5976,0,2.2,ml,nn
2023-11-06T15:50:26.840Z,19.52350044,-156.4528351,15.19999981,2.84,ml,hv
2023-11-06T15:46:34.960Z,17.92066667,-66.28416667,7.78,2.47,md,pr
2023-11-06T15:36:44.150Z,-7.5306,127.7471,172.438,5.2,mww,us
